dataset,noise_mode,noise_level,mean,median,std,count
ml,kmeans_templates,high,-0.001929757747581184,-0.0003459096234453528,0.004096177150065953,18
ml,kmeans_templates,low,-0.0023268998265687335,-8.619294775800285e-05,0.005642354856700075,18
ml,random_centroids,medium,-0.0031841065270790895,-3.9134402589902084e-05,0.0063829658687996095,18
ml,random_centroids,low,-0.0032256631758750057,-4.504161133920062e-05,0.005862053062692401,18
ml,random_centroids,high,-0.004293141057926628,-0.0013599260096814544,0.005972111508705831,18
ml,kmeans_templates,medium,-0.005195964634375949,-8.42700909964994e-06,0.007924931340892075,18
