train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.04792789925710623,0.043,0.05213933325972979,0.05213933065533638,0.04425160214304924,0.04425160214304924,0.0,0.0,0.0,0.0,0.0,0.6380441784858704,0.0,0.5599388480186462,0.0,5000.0,opc,ml,kmeans_templates,high,0
5000,0.04851666804112663,0.04165134396553197,0.04467627388723135,0.044676274061203,0.042206764221191406,0.04206795617938042,0.0,0.0,0.0,0.0,0.0,0.6837003827095032,0.22666901350021362,0.598544180393219,0.24669283628463745,5000.0,opc,ml,kmeans_templates,high,0
25000,0.04794843301633952,0.03954435961513813,0.04659507074568995,0.046595070511102676,0.03852822259068489,0.03835030272603035,0.0,0.0,0.0,0.0,0.0,0.6699972748756409,0.2292761504650116,0.6128230690956116,0.2310873121023178,5000.0,opc,ml,kmeans_templates,high,0
50000,0.04718793979024388,0.07387168447852875,0.04591677426010371,0.04591677337884903,0.07202460616827011,0.07313733547925949,0.0,0.0,0.0,0.0,0.0,0.6797279715538025,0.23576544225215912,0.6094878315925598,0.2489888072013855,7500.0,opc,ml,kmeans_templates,high,0
100000,0.04811223198691525,0.034338216345746915,0.04729224335210706,0.04729224368929863,0.04440067708492279,0.02533569745719433,0.0,0.0,0.0,0.0,0.0,3.3108105659484863,3.279146194458008,3.673593521118164,3.628730058670044,15000.0,opc,ml,kmeans_templates,high,0
1000000,0.04698349797662905,0.0024403127142843643,0.04474222592852662,0.04474223405122757,0.03476771339774132,0.00361791905015707,0.0,0.0,0.0,0.0,0.0,2.8799448013305664,2.806744337081909,3.8705708980560303,3.8126442432403564,150000.0,opc,ml,kmeans_templates,high,0
0,0.04792789925710623,0.043,0.05213933325972979,0.05213933065533638,0.04425160214304924,0.04425160214304924,0.0,0.0,0.0,0.0,0.0,0.6380441784858704,0.0,0.5599388480186462,0.0,5000.0,no_propensity,ml,kmeans_templates,high,0
5000,0.04840849524705089,0.04411616463540275,0.04607977769511517,0.04607978090643883,0.04684530571103096,0.046843063086271286,0.0,0.0,0.0,0.0,0.0,0.6680811047554016,0.22341203689575195,0.6008170247077942,0.24403096735477448,5000.0,no_propensity,ml,kmeans_templates,high,0
25000,0.04829816497785168,0.05051293394413611,0.048049185067288204,0.04804918169975281,0.05204694718122482,0.05204392224550247,0.0,0.0,0.0,0.0,0.0,0.6814361810684204,0.23617911338806152,0.5982605814933777,0.22221548855304718,5000.0,no_propensity,ml,kmeans_templates,high,0
50000,0.04781107080903482,0.050649129461814116,0.04812790160913091,0.048127904534339905,0.05251501500606537,0.052076518535614014,0.0,0.0,0.0,0.0,0.0,0.6876866817474365,0.24084031581878662,0.6128592491149902,0.2336394041776657,7500.0,no_propensity,ml,kmeans_templates,high,0
100000,0.04828202033197328,0.055666435400710666,0.048934339653612324,0.04893433675169945,0.05486346781253815,0.05500901862978935,0.0,0.0,0.0,0.0,0.0,0.6850196719169617,0.23498253524303436,0.6002816557884216,0.22857354581356049,15000.0,no_propensity,ml,kmeans_templates,high,0
1000000,0.04732558526200761,0.04707664373777348,0.04662171708714279,0.046621713787317276,0.04691043496131897,0.0469183623790741,0.0,0.0,0.0,0.0,0.0,0.6761116981506348,0.23414325714111328,0.602346658706665,0.2086898535490036,150000.0,no_propensity,ml,kmeans_templates,high,0
