dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,metric,no_propensity,opc,delta,lift_pct,initial_reward
ml,kmeans_templates,action,brutal,0.05,5000,0,mean_trials,0.046709222246236824,0.04644794836018415,-0.00026127388605267504,-0.5593625273298676,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,5000,0,oracle,0.0472196504499876,0.047178129091495,-4.1521358492599414e-05,-0.08793237158029474,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,5000,0,selected,0.0463707952422984,0.0466775048685765,0.0003067096262780941,0.6614284371778909,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,5000,1,mean_trials,0.04728689084094785,0.04728880286759328,1.912026645428666e-06,0.004043460272869021,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,5000,1,oracle,0.0475824897913896,0.0475656373498777,-1.6852441511901184e-05,-0.035417317559012555,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,5000,1,selected,0.0471552284035294,0.0472780714096879,0.00012284300615850174,0.2605077110586265,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,5000,2,mean_trials,0.047081117717822654,0.047037418344132914,-4.3699373689740084e-05,-0.09281719680413958,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,5000,2,oracle,0.047576852369288,0.0475023661756149,-7.4486193673097e-05,-0.1565597343324453,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,5000,2,selected,0.0466471926002217,0.0476028700045713,0.0009556774043495975,2.0487350922487355,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,5000,3,mean_trials,0.04657331507257878,0.04666778480561114,9.446973303235684e-05,0.20284090339100275,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,5000,3,oracle,0.046892736053911,0.0470224169269967,0.00012968087308570103,0.276547892058615,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,5000,3,selected,0.0469015397565872,0.0467613711234132,-0.00014016863317400236,-0.29885721002222754,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,5000,4,mean_trials,0.046866576150490745,0.04674703582777972,-0.00011954032271102588,-0.2550651925738641,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,5000,4,oracle,0.0473977405260651,0.0472660182463359,-0.00013172227972919892,-0.277908352312199,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,5000,4,selected,0.0470625544617034,0.0469731904584659,-8.93640032374951e-05,-0.18988345248070632,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,25000,0,mean_trials,0.04737908175154145,0.04667211394143211,-0.0007069678101093435,-1.4921517766357781,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,25000,0,oracle,0.0482120263147004,0.0472375953375243,-0.0009744309771761023,-2.0211367404795992,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,25000,0,selected,0.04794637536975,0.0462048623012678,-0.0017415130684821992,-3.6322100576990493,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,25000,1,mean_trials,0.047706154094206324,0.04737985325431012,-0.0003263008398962028,-0.683980601856628,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,25000,1,oracle,0.0481374794819181,0.0476472375323751,-0.0004902419495430022,-1.0184204798823169,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,25000,1,selected,0.0478525133636322,0.0472573520995273,-0.0005951612641049014,-1.2437408659859914,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,25000,2,mean_trials,0.04752941783385001,0.047014437350290476,-0.0005149804835595309,-1.083498403788078,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,25000,2,oracle,0.0480945354720317,0.0475615293810204,-0.0005330060910112983,-1.1082466766338892,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,25000,2,selected,0.0477926036917944,0.0469945118945466,-0.0007980917972478033,-1.6699065035136997,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,25000,3,mean_trials,0.047080652387357425,0.04680127183410235,-0.0002793805532550764,-0.5934084153219986,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,25000,3,oracle,0.0476976426392655,0.0478291935871219,0.00013155094785639865,0.2758017809209374,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,25000,3,selected,0.0466883618561284,0.0468841307980894,0.0001957689419610012,0.4193099397324522,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,25000,4,mean_trials,0.04717661401408392,0.04669220595399669,-0.00048440806008723247,-1.0267970056999411,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,25000,4,oracle,0.0476673686631635,0.0471906900859029,-0.0004766785772605947,-1.000010259909655,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,25000,4,selected,0.0475974567435164,0.0466730771384745,-0.0009243796050418945,-1.9420777249150212,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,50000,0,mean_trials,0.04753343036900963,0.046760924933706594,-0.0007725054353030364,-1.625183432598811,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,50000,0,oracle,0.0480348354749542,0.0471193812494649,-0.000915454225489297,-1.9058131800339424,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,50000,0,selected,0.04800493035647,0.0470674744772907,-0.0009374558791793025,-1.9528324949500822,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,50000,1,mean_trials,0.04780916669002661,0.0472972449924182,-0.000511921697608414,-1.0707605529447664,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,50000,1,oracle,0.0482556304925747,0.047603275128281,-0.0006523553642936997,-1.3518740873027872,0.0472428440534382
