dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,method,reward,initial_reward,metric
ml,kmeans_templates,action,extreme,0.05,50000,0,opc,0.0467432283466075,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,50000,1,no_propensity,0.0491184054583416,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,50000,1,opc,0.0475939648689373,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,50000,2,no_propensity,0.0492813094387136,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,50000,2,opc,0.0475620803947396,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,50000,3,no_propensity,0.048357883550231,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,50000,3,opc,0.0475959028832181,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,50000,4,no_propensity,0.0489663281289614,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,50000,4,opc,0.0471044812156737,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,100000,0,no_propensity,0.0489006249624228,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,100000,0,opc,0.0473521053414755,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,100000,1,no_propensity,0.0490467493714117,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,100000,1,opc,0.0478080906503688,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,100000,2,no_propensity,0.0492986598905107,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,100000,2,opc,0.0466427107515357,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,100000,3,no_propensity,0.048899754983919,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,100000,3,opc,0.0472676262688435,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,100000,4,no_propensity,0.0491407014150767,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,100000,4,opc,0.0480407765158817,0.0473316286445249,selected
ml,kmeans_templates,action,high,0.05,5000,0,no_propensity,0.048941543093604,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,5000,0,opc,0.0478166866700018,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,5000,1,no_propensity,0.0489957381113899,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,5000,1,opc,0.0480620803157933,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,5000,2,no_propensity,0.0489314170430669,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,5000,2,opc,0.0488131245953114,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,5000,3,no_propensity,0.0483613237703755,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,5000,3,opc,0.0482842063500169,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,5000,4,no_propensity,0.0491361934367782,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,5000,4,opc,0.0484270767911564,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,25000,0,no_propensity,0.0493982483493064,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,25000,0,opc,0.0482203758166635,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,25000,1,no_propensity,0.0492603216359863,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,25000,1,opc,0.0484776273682777,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,25000,2,no_propensity,0.049667680332543,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,25000,2,opc,0.0484093959338356,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,25000,3,no_propensity,0.048710290001289,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,25000,3,opc,0.0481768133114045,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,25000,4,no_propensity,0.0496982759289947,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,25000,4,opc,0.0476806193205197,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,50000,0,no_propensity,0.049319529949705,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,50000,0,opc,0.0485450586265453,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,50000,1,no_propensity,0.0492217117035173,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,50000,1,opc,0.0488614110479268,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,50000,2,no_propensity,0.0498333234643544,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,50000,2,opc,0.0484241932804791,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,50000,3,no_propensity,0.0497801189573697,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,50000,3,opc,0.0482026737525496,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,50000,4,no_propensity,0.0497251946989309,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,50000,4,opc,0.0485794991144399,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,100000,0,no_propensity,0.0498748842779009,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,100000,0,opc,0.0484723858029974,0.0482957077058575,selected
ml,kmeans_templates,action,high,0.05,100000,1,no_propensity,0.0498536399414113,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,100000,1,opc,0.0483727506750217,0.048376614634751,selected
ml,kmeans_templates,action,high,0.05,100000,2,no_propensity,0.0498326514374391,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,100000,2,opc,0.0484329933687681,0.0484063424369392,selected
ml,kmeans_templates,action,high,0.05,100000,3,no_propensity,0.0497327749731769,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,100000,3,opc,0.0483308840100982,0.0481926027612877,selected
ml,kmeans_templates,action,high,0.05,100000,4,no_propensity,0.049482466521759,0.04838807517565,selected
ml,kmeans_templates,action,high,0.05,100000,4,opc,0.0483955813290269,0.04838807517565,selected
ml,kmeans_templates,action,low,0.05,5000,0,no_propensity,0.0498267888726773,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,5000,0,opc,0.0494048655803797,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,5000,1,no_propensity,0.0498101944778501,0.0494137412479531,selected
