train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.04950700271097191,0.045,0.050875166631233995,0.050875164568424225,0.04481203854084015,0.04481203854084015,0.0,0.0,0.0,0.0,0.0,0.13377125561237335,0.0,0.11801132559776306,0.0,5000.0,opc,ml,kmeans_templates,low,1
5000,0.04934513201148276,0.04715580032062509,0.051647585546021245,0.05164758116006851,0.04896806180477142,0.049103692173957825,0.0,0.0,0.0,0.0,0.0,0.2643367350101471,0.23489807546138763,0.2851252853870392,0.2630804181098938,5000.0,opc,ml,kmeans_templates,low,1
25000,0.04938735852757285,0.05051784553668445,0.0483640992328021,0.048364099115133286,0.050361890345811844,0.05031835660338402,0.0,0.0,0.0,0.0,0.0,0.2503090798854828,0.21371830999851227,0.2780896723270416,0.24769343435764313,5000.0,opc,ml,kmeans_templates,low,1
50000,0.04938304606846509,0.047141980323727524,0.05189746317473553,0.05189746245741844,0.04602435603737831,0.04609215632081032,0.0,0.0,0.0,0.0,0.0,0.2824386954307556,0.24880847334861755,0.2724514901638031,0.24641767144203186,7500.0,opc,ml,kmeans_templates,low,1
100000,0.039391174407858665,0.03496750929108484,0.04937267328026755,0.04937267303466797,0.0396936759352684,0.03630577027797699,0.0,0.0,0.0,0.0,0.0,0.36219367384910583,0.3315756916999817,0.41275548934936523,0.3947122097015381,15000.0,opc,ml,kmeans_templates,low,1
1000000,0.03110221898746736,0.02242264097593743,0.044970548061196,0.0449705496430397,0.02656625211238861,0.022228870540857315,0.0,0.0,0.0,0.0,0.0,0.5142460465431213,0.5007320046424866,0.5210942625999451,0.5060527324676514,150000.0,opc,ml,kmeans_templates,low,1
0,0.04950700271097191,0.045,0.050875166631233995,0.050875164568424225,0.04481203854084015,0.04481203854084015,0.0,0.0,0.0,0.0,0.0,0.13377125561237335,0.0,0.11801132559776306,0.0,5000.0,no_propensity,ml,kmeans_templates,low,1
5000,0.049449028017994376,0.047910612738057384,0.049564874889012005,0.04956487566232681,0.048889923840761185,0.04885757714509964,0.0,0.0,0.0,0.0,0.0,0.27275630831718445,0.23302385210990906,0.2747199535369873,0.24611318111419678,5000.0,no_propensity,ml,kmeans_templates,low,1
25000,0.049477641689705136,0.04758815952442385,0.05032919403685169,0.050329193472862244,0.046419549733400345,0.04639062285423279,0.0,0.0,0.0,0.0,0.0,0.259708434343338,0.21940751373767853,0.2641657888889313,0.2278154492378235,5000.0,no_propensity,ml,kmeans_templates,low,1
50000,0.04960680678099781,0.051932754265200526,0.04853004505532802,0.04853004589676857,0.05218382924795151,0.05209198221564293,0.0,0.0,0.0,0.0,0.0,0.27672868967056274,0.2428838461637497,0.2662312984466553,0.23965702950954437,7500.0,no_propensity,ml,kmeans_templates,low,1
100000,0.048599536638105637,0.0457910380996589,0.050380768871678916,0.05038077011704445,0.0459413006901741,0.045978762209415436,0.0,0.0,0.0,0.0,0.0,0.2549568712711334,0.22200119495391846,0.269363671541214,0.2396976351737976,15000.0,no_propensity,ml,kmeans_templates,low,1
1000000,0.0490434994015602,0.04936999283787745,0.04846020088766654,0.04846020042896271,0.0493759959936142,0.0493774339556694,0.0,0.0,0.0,0.0,0.0,0.25106847286224365,0.20932237803936005,0.27613940834999084,0.24893762171268463,150000.0,no_propensity,ml,kmeans_templates,low,1
