dataset,noise_mode,noise_axis,noise_level,train_size,metric,reward,initial_reward,ctr,pct_vs_logging,pct_vs_ctr,restored_ctr,reward_over_ctr,action_delta,context_delta,conv_dr,conv_sndr,struggle,struggle_worse_than_logging,struggle_low_restore,n_seeds,reward_std,restored_ctr_std,pct_vs_logging_std,reward_se,restored_ctr_se
ml,kmeans_templates,action,brutal,5000,mean_trials,0.04683779804106024,0.04682460416787458,0.05,0.0277683053528023,-6.3244039178795255,0.0050935723044479965,0.9367559608212048,,,,,True,0.2,1.0,5,0.0003287775358131863,0.030896242559458616,0.21882580444234367,0.00014703378391063123,0.01381721972245431
ml,kmeans_templates,action,brutal,5000,oracle,0.04730691355806404,0.04682460416787458,0.05,1.0307070524436823,-5.386172883871925,0.15126195111307852,0.9461382711612808,,,,,True,0.0,1.0,5,0.00022601765672033178,0.028692070617499617,0.2319469218824584,0.0001010781689083748,0.012831484063190702
ml,kmeans_templates,action,brutal,5000,selected,0.04705860157294296,0.04682460416787458,0.05,0.4995537417438052,-5.882796854114085,0.07429730438602641,0.9411720314588592,0.20442433357238765,0.20853081047534944,0.04489684849977488,0.044918657839298236,True,0.0,1.0,5,0.00038251497735084807,0.08159585191897896,0.5259426111052644,0.00017106589835365774,0.03649077431456872
ml,kmeans_templates,action,brutal,25000,mean_trials,0.04691197646682635,0.04682460416787458,0.05,0.18650921169004514,-6.1760470663473095,0.027966794349235363,0.9382395293365269,,,,,True,0.2,1.0,5,0.00029474376414559444,0.02547782488234343,0.17384747458035532,0.00013181341851474287,0.011394029671151098
ml,kmeans_templates,action,brutal,25000,oracle,0.04749324918478892,0.04682460416787458,0.05,1.4299410712760288,-5.013501630422165,0.2075117418175533,0.9498649836957783,,,,,True,0.0,0.8,5,0.00027300830380618007,0.08869346045075766,0.6988085723465189,0.00012209302514650663,0.03966492134551665
ml,kmeans_templates,action,brutal,25000,selected,0.046802786846381124,0.04682460416787458,0.05,-0.04693877829076721,-6.394426307237763,-0.006125297275972228,0.9360557369276223,0.20726419985294342,0.20289463698863983,0.0468112096190452,0.04683208838105196,True,0.4,1.0,5,0.00039507697728278487,0.07358859522633755,0.5341694020203666,0.00017668379550988942,0.032909820258961456
ml,kmeans_templates,action,brutal,50000,mean_trials,0.046963007243635016,0.04682460416787458,0.05,0.2961403223898407,-6.073985512729967,0.04257033110473461,0.9392601448727003,,,,,True,0.0,1.0,5,0.0002197896995108641,0.016241680825019457,0.13006640429672692,9.829294177210888e-05,0.007263500478719674
ml,kmeans_templates,action,brutal,50000,oracle,0.047395118159785136,0.04682460416787458,0.05,1.2197435015214104,-5.2097636804297265,0.1777386662655859,0.9479023631957026,,,,,True,0.0,1.0,5,0.00018111056509313386,0.04353703453981443,0.3711136083165942,8.099510699832957e-05,0.019470353753956268
ml,kmeans_templates,action,brutal,50000,selected,0.04694892778763242,0.04682460416787458,0.05,0.26688305508715937,-6.102144424735167,0.03635618188785161,0.9389785557526483,0.1777266770601272,0.16666942238807675,0.0463241875171661,0.046318950504064496,True,0.6,1.0,5,0.00022183722375655862,0.06566025633956657,0.4747820247316174,9.920862245189926e-05,0.029364159319066472
ml,kmeans_templates,action,brutal,100000,mean_trials,0.04703255785320899,0.04682460416787458,0.05,0.4447081134691033,-5.934884293582021,0.06454605609586979,0.9406511570641797,,,,,True,0.0,1.0,5,0.0002291848407695899,0.02671815159291183,0.20972261967467945,0.00010249457667465364,0.011948720638979027
ml,kmeans_templates,action,brutal,100000,oracle,0.04767363360385168,0.04682460416787458,0.05,1.8143082284606007,-4.6527327922966455,0.2663879854581546,0.9534726720770335,,,,,True,0.0,0.6,5,0.0002811023026626852,0.07673503622419497,0.5322762350527162,0.00012571277147709685,0.03431695145064175
ml,kmeans_templates,action,brutal,100000,selected,0.04700110783419502,0.04682460416787458,0.05,0.37676987116049643,-5.997784331609968,0.056175642896164855,0.9400221566839002,0.19467579424381254,0.19167258739471432,0.04679059907793994,0.04679778218269344,True,0.0,1.0,5,0.00035093456565465307,0.06428118973710797,0.41488663544422755,0.00015694270889163344,0.028747421985347053
ml,kmeans_templates,action,extreme,5000,mean_trials,0.04738403505333676,0.04733241011515314,0.05,0.10923230235890344,-5.231929893326492,0.018938412826970646,0.9476807010667351,,,,,True,0.2,1.0,5,0.0001729241650106104,0.01995704678902264,0.1112842204754323,7.733403758322309e-05,0.008925062650079706
