scope,metric,train_size,n_cells,mean_reward,mean_logging_reward,mean_restored_ctr,mean_pct_vs_logging,frac_struggle,frac_worse_than_logging,frac_low_restore
axis=action,mean_trials,50000,5,0.04826222465401643,0.04817510725013254,0.038057141859725856,0.18355355071329882,1.0,0.2,1.0
axis=combined,mean_trials,50000,5,0.047782505501967616,0.047614204771747035,0.047594465457846916,0.36174924445678497,1.0,0.2,1.0
axis=context,mean_trials,50000,5,0.04878711931587084,0.04872548403788305,-0.007588194896389219,0.13226555956922917,1.0,0.2,1.0
axis=metadata,mean_trials,50000,5,0.04893721000128772,0.04886385992243565,0.048073423021378445,0.15298173100905643,1.0,0.0,1.0
level=brutal,mean_trials,50000,4,0.04752003689890119,0.04736142250415731,0.05422253948169002,0.3383202356371522,1.0,0.0,1.0
level=extreme,mean_trials,50000,4,0.047850309372045235,0.04768088014711353,0.05783493966226268,0.3607784778049194,1.0,0.0,1.0
level=high,mean_trials,50000,4,0.04843812115342247,0.04831200788622676,0.04704721905047472,0.2678660936799652,1.0,0.0,1.0
level=low,mean_trials,50000,4,0.049381316470067396,0.04941830073200257,-0.05613681730945448,-0.07495369071054019,1.0,0.75,1.0
level=medium,mean_trials,50000,4,0.04902154044699196,0.04895070870824765,0.05470316341822953,0.14617649077396513,1.0,0.0,1.0
all,mean_trials,100000,20,0.04851730940057357,0.04834466399554957,0.07285286990493775,0.36482945809618306,1.0,0.2,1.0
axis=action,mean_trials,100000,5,0.04830012125759346,0.04817510725013254,0.0653087483674065,0.2625280151735888,1.0,0.0,1.0
axis=combined,mean_trials,100000,5,0.04792297280491751,0.047614204771747035,0.13075798516635803,0.6559888714107236,1.0,0.0,1.0
axis=context,mean_trials,100000,5,0.04888330191486111,0.04872548403788305,0.07322108091432836,0.3319999414866931,1.0,0.2,1.0
axis=metadata,mean_trials,100000,5,0.04896284162492223,0.04886385992243565,0.022123665171658074,0.20880100431372672,1.0,0.6,1.0
level=brutal,mean_trials,100000,4,0.047600761461379835,0.04736142250415731,0.08238396514511019,0.5092696473066867,1.0,0.0,1.0
level=extreme,mean_trials,100000,4,0.047928584889545656,0.04768088014711353,0.0976537672114374,0.5233562934160998,1.0,0.0,1.0
