train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.04916289939889773,0.0448,0.05143393999045511,0.05143393576145172,0.0442972257733345,0.0442972257733345,0.0,0.0,0.0,0.0,0.0,0.3403396010398865,0.0,0.3124749958515167,0.0,5000.0,opc,ml,random_centroids,medium,0
5000,0.04882621813319357,0.046180935196559296,0.05131900369045917,0.051318999379873276,0.04696023091673851,0.04701140150427818,0.0,0.0,0.0,0.0,0.0,0.4243621230125427,0.24997684359550476,0.37581175565719604,0.21832908689975739,5000.0,opc,ml,random_centroids,medium,0
25000,0.04910248309152984,0.05275414033789434,0.0500938426585154,0.050093840807676315,0.05340936407446861,0.05339871719479561,0.0,0.0,0.0,0.0,0.0,0.40890100598335266,0.22640785574913025,0.39098986983299255,0.20592088997364044,5000.0,opc,ml,random_centroids,medium,0
50000,0.04812339803088683,0.055551664612854476,0.04789567097330267,0.04789566993713379,0.05587920919060707,0.05583517998456955,0.0,0.0,0.0,0.0,0.0,0.4354615807533264,0.2525184750556946,0.3943498730659485,0.23122698068618774,7500.0,opc,ml,random_centroids,medium,0
100000,0.049124920670600355,0.05146105096990276,0.04991454878980878,0.04991455003619194,0.05114978924393654,0.05115421488881111,0.0,0.0,0.0,0.0,0.0,0.4307969808578491,0.2485964447259903,0.35547003149986267,0.21270833909511566,15000.0,opc,ml,random_centroids,medium,0
1000000,0.0346218056281425,0.0015676607650071655,0.04276946232539245,0.04276946187019348,0.039170898497104645,-0.002001128625124693,0.0,0.0,0.0,0.0,0.0,2.8283092975616455,2.7772469520568848,2.2816920280456543,2.239534854888916,150000.0,opc,ml,random_centroids,medium,0
0,0.04916289939889773,0.0448,0.05143393999045511,0.05143393576145172,0.0442972257733345,0.0442972257733345,0.0,0.0,0.0,0.0,0.0,0.3403396010398865,0.0,0.3124749958515167,0.0,5000.0,no_propensity,ml,random_centroids,medium,0
5000,0.04936017515200508,0.04552209010447958,0.05676454395717822,0.05676454305648804,0.041102081537246704,0.04171743243932724,0.0,0.0,0.0,0.0,0.0,0.42198067903518677,0.2370406538248062,0.39684298634529114,0.24537813663482666,5000.0,no_propensity,ml,random_centroids,medium,0
25000,0.04896333112841133,0.04528630341503564,0.05015211894431597,0.050152119249105453,0.04551101103425026,0.04558379575610161,0.0,0.0,0.0,0.0,0.0,0.41404828429222107,0.24295032024383545,0.39341628551483154,0.22980770468711853,5000.0,no_propensity,ml,random_centroids,medium,0
50000,0.047561218292284324,0.053034777795185305,0.04745306119835843,0.04745306074619293,0.05332808941602707,0.053384389728307724,0.0,0.0,0.0,0.0,0.0,0.4065379202365875,0.2279026359319687,0.3887142241001129,0.2360926866531372,7500.0,no_propensity,ml,random_centroids,medium,0
100000,0.04906102664317469,0.049065620031786335,0.04994152378840135,0.0499415248632431,0.04890583083033562,0.04891099035739899,0.0,0.0,0.0,0.0,0.0,0.4180026054382324,0.24209564924240112,0.4108705520629883,0.258017897605896,15000.0,no_propensity,ml,random_centroids,medium,0
1000000,0.0492207163015397,0.04743113781847846,0.04837008573770656,0.04837008938193321,0.04741258919239044,0.04744357243180275,0.0,0.0,0.0,0.0,0.0,0.413329154253006,0.2370694875717163,0.3799193799495697,0.21416151523590088,150000.0,no_propensity,ml,random_centroids,medium,0
