clip_label,mean_true_v,mean_lift,std_lift,n
inf,0.04923700252957666,7.4549179325828635e-06,1.3322070427805151e-05,4
200,0.04923637324063367,6.825628989591548e-06,1.435164864604073e-05,4
100,0.04923531093765576,5.76332601168357e-06,1.5313519818122422e-05,4
50,0.049234759695292986,5.212083648904742e-06,1.5122521655453106e-05,4
20,0.04923357801189598,4.030400251896216e-06,1.4989716805908746e-05,4
10,0.04923288189790713,3.3342862630451886e-06,1.3809015624836688e-05,4
5,0.04923072600723368,1.1783955896002563e-06,1.4117178824994872e-05,4
1,0.049229893712587104,3.4610094301959493e-07,1.377385799337336e-05,4
2,0.049229115435911186,-4.321757328951126e-07,1.3712642836056017e-05,4
